Date,AAPL,AMGN,AXP,BA,CAT,CSCO,CVX,DIS,GS,HD,IBM,INTC,JNJ,JPM,KO,MCD,MRK,MSFT,NKE,PFE,PG,TRV,UNH,V,VZ,WBA,WMT
2023-02-15,153.7792,225.388,175.5432,217.44,240.1273,45.278,155.5568,107.907,352.5107,302.6278,126.1128,28.1584,148.7391,135.8457,55.6448,253.0306,101.0926,265.1036,123.1077,38.7702,132.2511,177.1085,474.4755,225.4557,34.6414,31.9099,47.4225
2023-02-16,152.1754,219.8957,172.8907,212.21,238.0225,47.6517,153.311,104.5386,348.6121,303.1468,124.8184,27.524,147.6845,133.9752,55.2993,252.3376,99.9942,258.0459,120.114,38.439,130.5189,175.0431,470.7088,222.4125,34.1781,31.7351,46.6783
2023-02-17,151.0269,225.8198,172.2689,211.66,239.2487,47.4461,149.8872,103.936,347.0112,300.0421,124.8369,26.9481,150.7677,134.372,56.1397,256.2865,102.82,254.0199,120.5582,38.6717,133.2504,177.6153,482.0382,220.1768,34.5041,32.1196,47.3804
2023-02-21,146.9975,223.6699,168.5573,205.52,232.4127,46.4368,148.1844,100.8442,340.0616,278.8566,121.7765,25.4353,148.5211,131.9063,55.8409,254.9196,102.3975,248.7143,116.9465,38.2153,133.1552,177.1372,474.5335,217.2813,33.6291,31.5953,47.6684
2023-02-22,147.4233,221.7171,169.7426,205.76,229.6899,46.0817,147.5862,100.4392,339.845,279.6115,121.0924,24.8594,148.3143,130.8955,56.009,255.0051,102.482,247.5724,115.7877,37.9289,133.7167,177.9691,472.1962,216.6904,33.6977,31.5254,46.6686
2023-02-23,147.9084,223.0878,170.1701,208.13,229.7478,45.9882,149.0404,100.4886,342.3405,282.452,120.9259,24.9961,148.2673,131.9441,56.1117,253.2395,103.8246,250.7814,115.8456,37.8573,133.2885,177.3476,474.9005,217.7836,33.0543,31.639,45.973
2023-02-24,145.2453,219.37,169.3054,198.15,228.0292,45.306,149.4822,99.076,342.6324,279.9513,120.7225,24.5373,146.6129,133.1344,55.8783,250.2968,103.1674,245.3183,113.9915,37.3651,132.5366,177.2137,467.7918,216.2275,33.2344,31.2808,46.0959
2023-02-27,146.4432,220.1117,168.3824,200.46,231.7079,45.5396,149.8595,99.2242,344.2144,279.3379,120.6486,24.3031,146.2933,134.2964,55.8596,251.341,102.6698,246.2436,114.4647,36.4969,132.4224,177.2137,466.8163,217.0154,33.3545,30.9225,45.7627
2023-02-28,145.9383,217.4923,169.0528,201.55,231.2927,45.2499,147.9727,98.3945,331.1438,279.838,119.5483,24.3324,144.0655,135.4206,55.5701,251.9615,99.7407,245.5152,114.7157,36.309,130.9187,177.0129,459.6883,216.6116,33.2945,31.0449,45.9859
2023-03-01,143.8592,221.7453,170.9183,204.55,240.0983,45.1752,149.1508,97.3375,328.3744,274.4119,118.522,24.7228,143.4168,134.6648,54.9632,250.8254,100.1256,242.4145,114.513,35.96,131.0138,175.9898,458.993,215.0555,32.857,30.7565,45.3453
2023-03-02,144.4532,220.3839,170.3645,210.06,243.4873,45.3527,149.6202,97.7129,331.0964,276.5163,119.2062,25.5719,143.304,133.2667,55.7662,255.4558,100.4636,247.1787,115.4786,36.3537,133.1742,175.1674,461.3882,215.7449,32.9513,30.9138,45.4585
2023-03-03,149.5221,220.4496,174.0081,215.11,246.5094,46.0536,151.8292,99.9058,338.6743,281.6404,119.8627,25.7671,144.7799,135.7134,55.5047,256.8879,100.3415,251.2933,117.125,36.8281,134.145,175.5499,462.2188,220.3836,32.8226,31.5342,45.5135
2023-03-06,152.2941,220.7313,173.9789,211.92,245.2253,46.1845,152.9429,99.4317,338.6364,281.4139,120.3712,25.367,146.2275,134.9199,56.3638,258.3868,104.3034,252.8485,116.3793,36.7923,133.574,175.3204,464.3631,223.3185,32.7283,30.975,45.5071
2023-03-07,150.0864,214.7321,170.345,207.92,237.6555,45.7079,150.9732,97.8512,328.2321,274.327,118.5775,24.918,144.8457,130.9522,56.037,255.0357,104.463,250.1711,115.8176,36.1031,130.9187,172.4709,457.6987,219.7927,32.5224,29.8303,45.0541
