Date,0001.HK,0002.HK,0003.HK,0004.HK,0005.HK,0006.HK,0007.HK,0011.HK,0012.HK,0016.HK,0017.HK,0070.HK,1072.HK,2208.HK,600941.SS
2023-04-10,44.511,51.9799,6.1324,17.2104,48.4441,37.3288,0.212,98.811,23.6778,99.2844,20.4893,0.062,11.0545,6.0571,89.114
2023-04-11,44.6144,52.1309,6.1443,17.2873,48.6216,37.3288,0.202,99.0736,23.7207,99.4648,20.7292,0.062,11.1897,6.1123,86.6766
2023-04-12,45.324,52.4026,6.1443,17.4025,48.5772,37.502,0.204,99.2487,23.8497,99.6452,20.8252,0.062,10.95,6.1306,89.114
2023-04-13,45.2797,52.3573,6.1354,17.3449,49.0208,37.632,0.196,99.1611,23.5059,99.3746,20.6812,0.062,10.6551,6.195,87.1439
2023-04-14,45.2797,52.4479,6.1354,17.1912,49.3314,37.632,0.2,99.3362,23.4199,99.6452,20.5373,0.062,10.8763,6.2501,90.0762
2023-04-17,45.2353,52.4932,6.207,17.537,50.4848,37.8918,0.204,100.7365,23.4199,98.563,20.3933,0.062,11.0791,6.4432,94.2089
2023-04-18,45.0136,52.6291,6.1712,17.4794,49.9968,37.8918,0.212,100.5615,23.4199,98.563,20.2974,0.06,11.0238,6.3145,96.8388
2023-04-19,44.9249,52.1762,6.0996,17.2873,49.5532,37.6753,0.2,100.1239,22.6894,95.7676,19.6256,0.064,10.8579,6.2685,93.1734
2023-04-20,45.2353,52.0403,6.1354,17.2873,49.9968,37.5454,0.204,100.0363,22.7324,96.8497,19.5776,0.061,10.7473,6.1306,94.1081
2023-04-21,45.9892,52.2215,6.1085,17.1528,49.6419,37.6753,0.206,100.649,22.5605,96.9398,19.3857,0.059,10.5445,6.002,92.816
2023-04-24,45.2353,52.5385,6.1443,17.0568,49.6419,37.6753,0.204,99.5987,22.9043,97.03,19.2897,0.056,10.526,5.9744,92.367
2023-04-25,45.1466,52.1309,6.1354,16.8071,49.2426,37.6753,0.204,99.1611,22.9472,95.9479,19.117,0.056,10.0652,5.6895,93.375
2023-04-26,45.6345,52.4932,6.1802,17.1528,49.0208,37.9351,0.204,99.2487,23.291,96.7595,19.4337,0.056,10.4339,5.956,89.3248
2023-04-27,46.211,52.6744,6.2518,17.1336,49.9081,38.4115,0.2,100.9116,23.5489,97.6613,19.6736,0.056,10.4154,6.0295,91.0842
2023-04-28,46.5658,52.9008,6.2339,17.2297,49.8193,38.8012,0.2,101.6117,23.9786,98.2925,20.0095,0.056,10.2127,5.9009,92.6603
2023-05-02,46.9649,52.9461,6.2608,17.1912,52.0375,38.9311,0.206,101.2616,24.0216,96.3086,19.7216,0.058,10.526,5.5884,93.4911
2023-05-03,46.6988,52.9008,6.1891,17.1336,52.2149,39.061,0.219,99.0736,23.9356,96.3086,19.6256,0.058,10.0652,5.3861,94.3219
2023-05-04,48.2954,53.2632,6.2787,17.1336,52.0375,39.5807,0.22,99.7738,24.2364,98.2023,19.8655,0.053,10.5813,5.6251,95.1527
2023-05-05,47.6301,53.7614,6.4041,17.1912,51.86,39.9704,0.222,100.0363,24.5372,99.7353,20.0574,0.053,10.3601,5.6895,93.4391
2023-05-08,47.7188,54.9843,6.4489,17.2297,52.7917,40.2736,0.232,100.7365,24.7951,99.1041,20.2494,0.053,10.5445,5.7446,98.6439
2023-05-09,47.1423,54.9843,6.8519,17.1912,52.6142,39.9271,0.248,100.2114,24.1934,97.1202,20.2014,0.053,10.3417,5.717,95.0427
2023-05-10,46.9649,54.6672,6.7624,17.2681,52.6586,39.9704,0.249,100.0363,24.0216,95.4069,19.9135,0.051,10.4154,5.7538,94.383
2023-05-11,47.0093,55.7089,6.8519,17.2873,53.0031,40.1437,0.244,99.6863,23.7637,94.6854,19.5776,0.051,10.268,5.7538,91.5881
2023-05-12,45.9449,54.5766,6.6997,16.8071,52.8233,39.9704,0.238,99.2487,23.377,93.0623,19.2897,0.051,10.1758,5.5975,88.0969
2023-05-15,46.4327,55.2107,6.6817,17.0184,53.2729,40.3169,0.241,100.4859,23.8926,94.7756,19.3857,0.051,9.9914,5.6803,88.8025
2023-05-16,45.6788,55.0748,6.637,16.7687,53.6775,40.4035,0.237,99.2487,23.7637,95.3167,19.2897,0.051,10.4339,5.8733,86.3467
