Date,ALFA.ST,ASSA-B.ST,ATCO-A.ST,AXFO.ST,CAST.ST,ERIC-B.ST,HM-B.ST,KINV-B.ST,LIAB.ST,NWG.ST,SAAB-B.ST,SAND.ST,SWED-A.ST,TEL2-B.ST,VOLV-B.ST
2023-04-04,354.7743,232.1963,126.6022,240.5196,102.1914,55.4195,137.8876,156.2,146.4648,143.9002,158.6481,208.7281,145.041,88.6787,196.1868
2023-04-05,350.5127,221.6901,124.3232,244.0828,99.2933,55.9988,136.3954,155.15,141.9174,139.4725,157.3711,202.9169,144.9982,89.9861,178.9193
2023-04-06,348.382,220.6299,122.3352,243.3327,100.2593,57.1941,139.085,159.5,139.2647,139.8415,156.2072,202.7263,148.7622,91.5112,180.2924
2023-04-11,356.9051,226.6059,124.6142,250.5529,102.4855,56.716,139.9324,162.55,142.0121,140.026,158.3369,205.7748,152.3551,91.8163,182.7941
2023-04-12,358.261,226.2203,124.0323,251.1155,104.4176,56.0999,138.4771,163.75,143.5279,140.9484,160.3179,210.1571,151.4569,91.6855,196.2338
2023-04-13,360.9729,225.3528,123.6444,246.8959,103.2835,56.3482,140.2272,165.9,146.6543,141.6864,159.7236,209.776,154.3654,92.1649,197.4094
2023-04-14,361.6509,226.895,125.6324,249.0526,108.4078,57.2677,142.5667,166.3,149.2122,142.4243,154.0775,210.824,157.6588,92.0342,198.0207
2023-04-17,362.91,226.9914,125.8264,248.9588,108.7438,57.4056,144.1879,161.0,150.5385,144.2692,156.6034,213.9677,154.1087,91.642,199.6195
2023-04-18,366.203,229.6903,126.7961,250.1779,107.7357,52.477,143.101,165.2,151.3912,145.7451,154.1271,214.4441,156.0335,91.5548,199.2433
2023-04-19,357.3893,230.4613,125.293,253.1785,107.1477,51.769,142.8062,161.25,151.2017,142.6088,153.0375,213.9677,158.3432,92.8185,196.657
2023-04-20,358.7453,231.4252,126.1658,251.0218,105.0056,50.5184,142.622,160.2,149.6859,145.3761,151.7498,213.7772,157.6161,92.3392,198.632
2023-04-21,356.8082,233.0638,126.0203,251.8657,105.5096,50.9138,143.0457,159.2,149.8754,141.8709,148.7287,205.0127,158.2149,90.7704,198.538
2023-04-24,358.3578,234.606,127.0386,250.0841,103.8295,50.7207,142.7325,164.35,151.9596,141.6864,150.2144,207.4896,159.0276,89.0709,201.8297
