Date,4503.T,4523.T,4578.T,4661.T,6758.T,6762.T,6954.T,7203.T,7974.T,8035.T,8053.T,8306.T,8308.T,8316.T,9432.T,9984.T
2023-05-01,1924.6002,7501.4097,4496.4058,4857.3159,2495.5825,965.0,4522.7114,1773.1106,5506.147,15081.6553,2298.6853,816.9695,648.0954,1828.5565,157.0242,5106.0542
2023-05-02,1912.6464,7538.3203,4522.4404,4882.1484,2493.6011,977.0,4513.9897,1764.1219,5508.0825,15305.4482,2285.2266,810.6729,641.4012,1817.2333,157.2121,5112.9771
2023-05-08,1902.5314,7719.0889,4534.9761,4861.2891,2446.0474,969.0,4441.3076,1756.0796,5552.5879,15266.5273,2301.9341,797.2337,629.6385,1799.7631,156.9491,5063.5288
2023-05-09,1939.313,7826.9819,4594.7612,4892.0815,2503.5081,974.0,4482.9785,1813.3225,5543.8809,15538.9707,2455.0869,811.1428,640.8273,1829.8507,158.4142,5066.4956
2023-05-10,1926.8993,7661.3564,4554.2617,4827.5161,2480.7219,975.0,4502.3599,1827.5149,5539.0425,15208.1465,2415.1743,811.0488,642.9313,1836.9681,157.3999,5124.8452
2023-05-11,1932.8763,7504.249,4528.2261,4921.8813,2487.657,973.0,4455.8438,1812.8495,5448.0962,15456.2646,2387.3284,817.8154,642.74,1843.1151,157.3623,5081.3301
2023-05-12,1957.7037,7543.0522,4561.9761,5062.9316,2532.2383,970.0,4419.019,1837.4496,5570.9717,15952.499,2385.9363,816.2178,637.3846,1843.1151,154.3195,4894.4146
2023-05-15,2000.9222,7755.0532,4702.7598,5090.7446,2551.062,975.0,4446.1533,1828.9341,5611.6069,15738.4375,2405.8926,831.6304,621.7967,1876.7616,157.738,4895.4038
2023-05-16,2040.4625,7882.8213,4731.6875,5182.1299,2540.1641,981.0,4433.5552,1819.9457,5657.0801,16404.9492,2419.8154,854.7496,621.1273,1855.4091,156.3105,4943.8628
2023-05-17,2058.8535,7935.8213,4722.0449,5274.5088,2555.0247,998.0,4363.7812,1824.2032,5732.5464,16949.8359,2426.3127,873.3577,633.5594,1853.1445,156.5359,5182.2056
2023-05-18,2062.9915,7813.7314,4723.0093,5306.2944,2718.4907,1028.0,4439.3701,1850.2228,5846.7139,17874.1953,2461.5847,888.7704,635.8546,1855.4091,156.0851,5142.6465
2023-05-19,2085.52,7886.6069,4745.1875,5340.0674,2692.7327,1032.0,4536.2783,1854.0074,5782.8574,18029.875,2457.4075,871.1022,626.6739,1824.6743,154.9206,5121.8779
2023-05-22,2123.2212,7992.6064,4906.2212,5440.3926,2696.6953,1052.0,4628.3413,1845.0189,5863.1616,18156.3672,2482.0046,867.9068,619.8841,1827.9095,157.9258,5160.4478
2023-05-23,2141.1523,8114.6968,5003.6128,5404.6328,2638.2441,1048.0,4577.9492,1757.0258,5793.5,17689.3223,2463.905,865.7453,622.3705,1824.6743,156.5735,5122.8672
