Date,AZN.L,BARC.L,BHP.L,BP.L,CRH,DGE.L,HSBA.L,LLOY.L,MRO.L,NG.L,RIO.L,SGE.L,SHEL.L,TSCO.L,ULVR.L,VOD.L
2023-05-22,12030.9062,159.9513,2350.7778,481.3451,48.2831,3540.9258,616.7263,46.89,480.4046,1104.3424,4931.3765,863.4941,2393.5181,267.5611,4226.4609,81.6284
2023-05-23,12028.9072,163.3086,2323.2922,487.9908,46.9631,3536.9275,617.3258,47.5394,477.8051,1110.8386,4889.9199,858.6958,2416.5039,267.9608,4213.4692,84.0577
2023-05-24,11789.0088,158.5325,2253.8284,486.192,46.4909,3489.9482,599.7393,46.7152,477.4052,1097.8463,4769.0459,844.101,2391.0195,265.5621,4169.4951,83.3679
2023-05-25,11637.0723,156.8538,2218.8464,474.6494,46.6355,3473.4558,605.9345,45.7812,477.6052,1082.8552,4753.062,848.4995,2339.0518,264.8624,4164.9985,81.0385
2023-05-26,11779.0117,157.1936,2285.8118,476.5981,47.0305,3496.4456,610.3312,45.4566,474.9057,1088.8517,4919.8887,857.0964,2351.0444,263.6631,4166.4976,79.449
2023-05-30,11493.1328,155.6748,2247.8315,466.3046,46.6066,3400.9878,599.6394,45.1669,477.7051,1099.3455,4834.4775,856.4966,2280.5884,262.0639,4042.572,77.7294
2023-05-31,11655.0654,151.2183,2209.3513,453.013,45.8068,3345.5127,590.0468,44.123,471.5064,1105.3419,4777.0371,870.6916,2219.1262,260.6646,4026.5815,76.3498
2023-06-01,11665.0605,152.4973,2241.8345,461.2078,46.5295,3343.0139,593.3442,44.6175,488.303,1054.8718,4880.9287,869.1576,2246.6094,260.7646,4015.5879,76.1098
2023-06-02,11743.0283,156.634,2344.7808,474.0497,47.2714,3371.001,602.2374,45.3966,492.6022,1054.3722,5064.7378,871.9568,2288.5833,262.2638,4054.0649,75.61
2023-06-05,11789.0088,155.6548,2336.7852,472.6506,46.5873,3330.519,605.6348,44.6824,489.8027,1061.368,5049.7534,869.9573,2283.5864,262.9634,4068.5559,77.8994
2023-06-06,11826.9912,158.0728,2344.7808,470.9517,46.4138,3349.511,610.3312,45.1269,503.1001,1066.8647,5096.7051,872.7565,2272.0933,262.9634,4042.0723,76.8996
2023-06-07,11749.0244,158.1128,2358.7737,473.4501,46.8089,3332.0183,615.6271,45.4616,519.6968,1054.3722,5097.7041,865.3586,2293.0803,262.9634,4022.5837,78.4592
2023-06-08,11745.0264,157.4733,2377.7637,472.3508,47.7243,3324.522,610.531,45.2818,522.0963,1049.3752,5121.6787,866.5583,2307.5715,261.864,3997.0989,74.1304
2023-06-09,11707.043,156.2143,2378.7632,468.6031,46.9149,3319.0242,607.0338,45.2168,523.696,1053.8726,5119.6812,859.3603,2293.0803,261.764,3967.6167,74.8602
2023-06-12,11824.9922,155.1152,2369.2683,462.3072,47.8495,3345.0127,604.8354,44.9271,526.8954,1046.8766,5062.7407,867.1581,2276.5908,263.0634,3993.6013,72.8307
